"ScheduleHId","ReportId","BeginningBalance","ContributionsReceived","ScheduleCTotal","LoansReceivedTotal","ContributionsAndReceiptsReceived","TotalExpendableFunds","TotalInKindAndExpenditures","LoansPaidTotal","ScheduleITotal","TotalPaymentsMade","ExpendableFundsBalance","TotalUnPaidDebts","BalanceAtStartOfElectionCycle","PreviousReceipts","CurrentReceipts","TotalReceiptsThisElectionCycle","TotalFundsAvailable","PreviousDisbursements","CurrentDisbursements","TotalDisbursements","EndingBalance","ScheduleId","ReportUID"
"427637","491523","1745.93",".00",".00",".00",".00","1745.93",".00",".00",".00",".00","1745.93","500.00","1745.93","100.00",".00","100.00","1845.93","100.00",".00","100.00","1745.93","","{883BF6C9-7293-EFBD-8474-DA5F2710D9E3}"
"427639","491525",".00","800.00",".00",".00","800.00","800.00","511.88",".00",".00","511.88","288.12",".00",".00",".00","800.00","800.00","800.00",".00","511.88","511.88","288.12","","{78B06FE2-1783-B657-F377-BA182B275EF2}"
"427640","491526","350.00","432.00",".00",".00","432.00","782.00","332.00",".00",".00","332.00","450.00",".00",".00","350.00","432.00","782.00","782.00",".00","332.00","332.00","450.00","","{8B92099F-DBF4-1441-44C1-E8F402696C34}"
"427642","491528","415.31",".00",".00",".00",".00","415.31","276.00",".00",".00","276.00","139.31",".00","7643.31",".00",".00",".00","7643.31","7228.00","276.00","7504.00","139.31","","{83F673E0-C876-04A4-E9CC-3AEC29D7BF69}"
"427643","491529","300.00",".00",".00",".00",".00","300.00",".00",".00",".00",".00","300.00",".00","311.95",".00",".00",".00","311.95","11.95",".00","11.95","300.00","","{7DFF2FA2-F48E-2E01-EDD1-3E834AA29AD7}"
"427644","491530","350.43",".00",".00",".00",".00","350.43","110.00",".00",".00","110.00","240.43",".00","937.78",".00",".00",".00","937.78","587.35","110.00","697.35","240.43","","{E7A6510F-3094-4935-1E69-FD7783335D63}"
"427648","491534",".00","2000.00",".00",".00","2000.00","2000.00","856.60",".00",".00","856.60","1143.40",".00",".00",".00","2000.00","2000.00","2000.00",".00","856.60","856.60","1143.40","","{C5423929-3282-86D0-9012-5B90A2B0D8E0}"
"427650","491536","4022.80",".00",".00",".00",".00","4022.80","189.71",".00",".00","189.71","3833.09",".00","4395.33",".00",".00",".00","4395.33","372.53","189.71","562.24","3833.09","","{08C1022B-3816-3625-AC3B-01D7E0B18702}"
"427651","491537","4352.75","4020.00",".00",".00","4020.00","8372.75","759.54",".00",".00","759.54","7613.21",".00","3707.14","2575.00","4020.00","6595.00","10302.14","1929.39","759.54","2688.93","7613.21","","{34875E3C-E678-481D-111C-4083DCBC5815}"
"427652","491538","382.46","100.00",".00",".00","100.00","482.46","457.65",".00",".00","457.65","24.81",".00",".00","6738.00","100.00","6838.00","6838.00","6355.54","457.65","6813.19","24.81","","{367645F6-4223-0336-7616-97E2BF4B94FE}"
"427654","491540","1009.19",".00",".00",".00",".00","1009.19",".00",".00",".00",".00","1009.19",".00","1009.19",".00",".00",".00","1009.19",".00",".00",".00","1009.19","","{C66ACE56-C84C-E326-8C08-D79E5D5A140D}"
